t,z(t),v(t),F(t) (added)
5.339996,-1.088878,-1.543489,108.8878
5.359996,-1.119312,-1.521712,111.9312
5.379996,-1.149299,-1.499326,114.9299
5.399996,-1.178826,-1.47634,117.8826
5.419996,-1.207881,-1.452763,120.7881
5.439996,-1.236453,-1.428605,123.6453
5.459996,-1.26453,-1.403876,126.453
5.479996,-1.292102,-1.378586,129.2102
5.499996,-1.319157,-1.352744,131.9157
5.519996,-1.345684,-1.326361,134.5684
5.539996,-1.371673,-1.299447,137.1673
5.559996,-1.397113,-1.272013,139.7113
5.579996,-1.421995,-1.244071,142.1995
5.599996,-1.446307,-1.215631,144.6307
5.619996,-1.470041,-1.186705,147.0041
5.639996,-1.493187,-1.157304,149.3187
5.659996,-1.515736,-1.127441,151.5736
5.679996,-1.537679,-1.097126,153.7679
5.699996,-1.559006,-1.066372,155.9006
5.719995,-1.57971,-1.035192,157.971
5.739995,-1.599782,-1.003598,159.9782
5.759995,-1.619214,-0.9716023,161.9214
5.779995,-1.637998,-0.939218,163.7999
5.799995,-1.656128,-0.9064581,165.6128
5.819995,-1.673594,-0.8733355,167.3594
5.839995,-1.690392,-0.8398637,169.0392
5.859995,-1.706513,-0.8060558,170.6513
5.879995,-1.721951,-0.7719256,172.1951
5.899995,-1.736701,-0.7374865,173.6701
5.919995,-1.750756,-0.7027525,175.0756
5.939995,-1.764111,-0.6677374,176.4111
5.959995,-1.77676,-0.6324552,177.676
5.979995,-1.788698,-0.59692,178.8698
5.999995,-1.799921,-0.561146,179.9921
6.019995,-1.810424,-0.5251476,181.0424
6.039995,-1.820203,-0.4889391,182.0203
6.059995,-1.829254,-0.4525351,182.9254
6.079995,-1.837573,-0.41595,183.7573
6.099995,-1.845157,-0.3791986,184.5157
6.119995,-1.852003,-0.3422954,185.2003
6.139995,-1.858108,-0.3052554,185.8108
6.159995,-1.86347,-0.2680932,186.347
6.179995,-1.868086,-0.2308238,186.8086
6.199995,-1.871955,-0.1934621,187.1955
6.219995,-1.875076,-0.156023,187.5076
6.239995,-1.877446,-0.1185215,187.7446
6.259995,-1.879066,-0.08097256,187.9066
6.279995,-1.879934,-0.04339124,187.9934
6.299995,-1.880049,-0.005792564,188.0049
6.319995,-1.879413,0.03180843,187.9413
6.339995,-1.878025,0.0693967,187.8025
6.359995,-1.875886,0.1069572,187.5886
6.379995,-1.872997,0.1444749,187.2997
6.399995,-1.869358,0.1819349,186.9358
6.419995,-1.864972,0.219322,186.4971
6.439995,-1.859839,0.2566215,185.9839
6.459995,-1.853963,0.2938182,185.3963
6.479995,-1.847345,0.3308975,184.7345
6.499995,-1.839988,0.3678444,183.9988
6.519995,-1.831895,0.4046441,183.1895
6.539995,-1.823069,0.441282,182.3069
6.559995,-1.813514,0.4777434,181.3514
6.579995,-1.803234,0.5140137,180.3234
6.599995,-1.792233,0.5500784,179.2233
6.619995,-1.780514,0.585923,178.0514
6.639995,-1.768083,0.6215333,176.8083
6.659995,-1.754946,0.6568949,175.4946
6.679995,-1.741106,0.6919938,174.1106
6.699995,-1.726569,0.7268159,172.6569
6.719995,-1.711342,0.7613473,171.1342
6.739995,-1.695431,0.7955741,169.5431
6.759995,-1.678841,0.8294827,167.8841
6.779994,-1.66158,0.8630596,166.158
6.799994,-1.643654,0.8962912,164.3654
6.819994,-1.625071,0.9291643,162.5071
6.839994,-1.605838,0.9616657,160.5838
6.859994,-1.585962,0.9937825,158.5962
6.879994,-1.565452,1.025502,156.5452
6.899994,-1.544316,1.056811,154.4316
6.919994,-1.522562,1.087697,152.2562
6.939994,-1.500199,1.118148,150.0199
6.959994,-1.477236,1.148152,147.7236
6.979994,-1.453682,1.177697,145.3682
6.999994,-1.429546,1.206771,142.9547
7.019994,-1.404839,1.235362,140.4839
7.039994,-1.37957,1.263458,137.957
7.059994,-1.353749,1.29105,135.3749
7.079994,-1.327387,1.318125,132.7387
7.099994,-1.300493,1.344672,130.0493
7.119994,-1.27308,1.370682,127.308
7.139994,-1.245157,1.396144,124.5157
7.159994,-1.216736,1.421047,121.6736
7.179994,-1.187828,1.445382,118.7828
7.199994,-1.158445,1.469138,115.8445
7.219994,-1.128599,1.492307,112.8599
7.239994,-1.098302,1.514879,109.8302
7.259994,-1.067565,1.536845,106.7565
7.279994,-1.036401,1.558197,103.6401
7.299994,-1.004822,1.578925,100.4822
7.319994,-0.9728417,1.599021,97.28417
7.339994,-0.9404722,1.618478,94.04722
7.359994,-0.9077265,1.637287,90.77264
7.379994,-0.8746176,1.655442,87.46176
7.399994,-0.841159,1.672934,84.1159
7.419994,-0.8073639,1.689757,80.73639
7.439994,-0.7732458,1.705904,77.32458
7.459994,-0.7388183,1.721369,73.88184
7.479994,-0.7040954,1.736146,70.40955
7.499994,-0.6690909,1.750228,66.90909
7.519994,-0.6338187,1.76361,63.38187
7.539994,-0.5982929,1.776286,59.8293
7.559994,-0.5625279,1.788252,56.25279
7.579994,-0.5265378,1.799502,52.65378
7.599994,-0.4903372,1.810033,49.03372
7.619994,-0.4539404,1.81984,45.39404
7.639994,-0.417362,1.828919,41.7362
7.659994,-0.3806167,1.837266,38.06167
7.679994,-0.3437191,1.844878,34.37191
7.699994,-0.306684,1.851753,30.66841
7.719994,-0.2695263,1.857886,26.95263
7.739994,-0.2322608,1.863277,23.22608
7.759994,-0.1949024,1.867922,19.49024
7.779994,-0.157466,1.87182,15.7466
7.799994,-0.1199666,1.874969,11.99666
7.819993,-0.08241921,1.877369,8.24192
7.839993,-0.04483887,1.879017,4.483887
7.859993,-0.00724059,1.879914,0.724059
7.879993,0.03036058,1.880059,-3.036058
7.899993,0.06794961,1.879452,-6.794961
7.919993,0.1055115,1.878093,-10.55115
7.939993,0.1430311,1.875982,-14.30311
7.959993,0.1804935,1.873122,-18.04935
7.979993,0.2178838,1.869512,-21.78838
7.999993,0.2551869,1.865154,-25.51869
8.019994,0.2923879,1.86005,-29.23879
8.039994,0.3294719,1.854203,-32.94719
8.059995,0.3664242,1.847613,-36.64242
8.079995,0.4032299,1.840285,-40.32299
8.099996,0.4398743,1.83222,-43.98743
8.119996,0.4763427,1.823422,-47.63427
8.139997,0.5126206,1.813896,-51.26206
8.159997,0.5486935,1.803643,-54.86935
8.179997,0.5845469,1.792669,-58.45469
8.199998,0.6201664,1.780978,-62.01664
8.219998,0.6555379,1.768575,-65.55379
8.239999,0.6906472,1.755464,-69.06472
8.259999,0.7254802,1.741651,-72.54802
8.28,0.7600231,1.727142,-76.0023
8.3,0.7942619,1.711941,-79.42619
8.320001,0.828183,1.696056,-82.8183
8.340001,0.8617728,1.679492,-86.17728
8.360002,0.895018,1.662257,-89.5018
8.380002,0.9279051,1.644357,-92.79051
8.400002,0.9604211,1.625799,-96.04211
8.420003,0.9925529,1.60659,-99.25529
8.440003,1.024288,1.586739,-102.4288
8.460004,1.055613,1.566253,-105.5613
8.480004,1.086516,1.545141,-108.6516
8.500005,1.116984,1.523411,-111.6984
8.520005,1.147005,1.501071,-114.7005
8.540006,1.176568,1.478131,-117.6568
8.560006,1.20566,1.4546,-120.566
8.580007,1.23427,1.430486,-123.427
8.600007,1.262386,1.405801,-126.2386
8.620008,1.289997,1.380553,-128.9997
8.640008,1.317092,1.354753,-131.7092
8.660008,1.34366,1.328412,-134.366
8.680009,1.369691,1.301538,-136.9691
8.700009,1.395174,1.274145,-139.5173
8.72001,1.420098,1.246241,-142.0098
8.74001,1.444455,1.217839,-144.4455
8.760011,1.468234,1.18895,-146.8234
8.780011,1.491426,1.159585,-149.1426
8.800012,1.514021,1.129757,-151.4021
8.820012,1.536011,1.099476,-153.6011
8.840013,1.557386,1.068756,-155.7386
8.860013,1.578138,1.037608,-157.8138
8.880013,1.598259,1.006046,-159.8259
8.900014,1.617741,0.9740804,-161.774
8.920014,1.636575,0.9417256,-163.6575
8.940015,1.654755,0.9089941,-165.4755
8.960015,1.672273,0.875899,-167.2273
8.980016,1.689122,0.8424535,-168.9122
9.000016,1.705295,0.8086711,-170.5295
9.020017,1.720786,0.7745652,-172.0786
9.040017,1.735589,0.7401494,-173.5589
9.060018,1.749698,0.7054377,-174.9698
9.080018,1.763107,0.6704437,-176.3107
9.100019,1.775811,0.6351815,-177.5811
9.120019,1.787804,0.5996653,-178.7804
9.140019,1.799082,0.5639093,-179.9082
9.16002,1.809641,0.5279276,-180.9641
9.18002,1.819475,0.4917348,-181.9475
9.200021,1.828582,0.4553453,-182.8582
9.220021,1.836958,0.4187737,-183.6958
9.240022,1.844599,0.3820345,-184.4599
9.260022,1.851501,0.3451426,-185.1501
9.280023,1.857664,0.3081126,-185.7664
9.300023,1.863083,0.2709593,-186.3083
9.320024,1.867757,0.2336976,-186.7757
9.340024,1.871684,0.1963425,-187.1684
9.360024,1.874862,0.1589088,-187.4862
9.380025,1.87729,0.1214116,-187.729
9.400025,1.878967,0.08386579,-187.8967
9.420026,1.879893,0.04628645,-187.9893
9.440026,1.880067,0.008688587,-188.0067
9.460027,1.879488,-0.02891275,-187.9489
9.480027,1.878158,-0.06650253,-187.8158
9.500028,1.876077,-0.1040657,-187.6077
9.520028,1.873245,-0.1415872,-187.3246
9.540029,1.869664,-0.1790521,-186.9664
9.560029,1.865335,-0.2164454,-186.5335
9.580029,1.86026,-0.2537521,-186.026
9.60003,1.854441,-0.2909573,-185.4441
9.62003,1.84788,-0.3280461,-184.788
9.640031,1.84058,-0.3650037,-184.058
9.660031,1.832544,-0.4018154,-183.2544
9.680032,1.823775,-0.4384662,-182.3775
9.700032,1.814276,-0.4749417,-181.4276
9.720033,1.804051,-0.5112273,-180.4051
9.740033,1.793105,-0.5473083,-179.3105
9.760034,1.781442,-0.5831704,-178.1442
9.780034,1.769066,-0.6187992,-176.9066
9.800035,1.755982,-0.6541805,-175.5982
9.820035,1.742196,-0.6893002,-174.2196
9.840035,1.727713,-0.7241441,-172.7713
9.860036,1.712539,-0.7586983,-171.2539
9.880036,1.69668,-0.7929491,-169.668
9.900037,1.680143,-0.8268827,-168.0143
9.920037,1.662933,-0.8604856,-166.2933
9.940038,1.645058,-0.8937442,-164.5058
9.960038,1.626525,-0.9266454,-162.6525
9.980039,1.607342,-0.9591759,-160.7342
10.00004,1.587515,-0.9913227,-158.7515
10.02004,1.567054,-1.023073,-156.7054
10.04004,1.545966,-1.054414,-154.5966
10.06004,1.524259,-1.085333,-152.4259
10.08004,1.501943,-1.115819,-150.1943
10.10004,1.479025,-1.145857,-147.9025
10.12004,1.455517,-1.175438,-145.5517
10.14004,1.431426,-1.204548,-143.1426
